id,region,price,year,manufacturer,model,condition,fuel,transmission,drive;,car_age,log_price,year_bin
7316395026,birmingham,25995.0,2015,chevrolet,silverado 1500 lt crew cab 4wd,,,automatic,4wd;,9,10.16569795901424,2011-2015
7316393935,birmingham,31995.0,2014,chevrolet,silverado 1500 2lt crew cab long box 4wd,,,automatic,4wd;,10,10.373366173968712,2011-2015
7316383863,birmingham,29000.0,2005,ford,f750,,diesel,automatic,;,19,10.275085591132715,2001-2010
7316368518,birmingham,27990.0,2012,gmc,sierra 2500 hd extended cab,good,gas,other,4wd;,12,10.239638308916676,2011-2015
7316349679,birmingham,24990.0,2018,gmc,canyon extended cab pickup,good,other,other,;,6,10.126271039034782,2016-2020
7316337545,birmingham,10990.0,2011,mercedes-benz,ml350,excellent,gas,automatic,4wd;,13,9.3048320350689,2011-2015
7316330293,birmingham,3300.0,1999,chrysler,300m,,gas,automatic,fwd;,25,8.101980731853192,<=2000
7316307800,birmingham,27995.0,2017,ford,f-150,,gas,automatic,4wd;,7,10.23981692180943,2016-2020
7316282669,birmingham,8100.0,2011,ford,escape,excellent,hybrid,automatic,fwd;,13,8.999742789830492,2011-2015
7316244350,birmingham,3999.0,2003,infiniti,g35 sedan,,gas,automatic,rwd;,21,8.294049640102028,2001-2010
7316213984,birmingham,5300.0,2009,jeep,grand cherokee laredo,excellent,gas,automatic,4wd;,15,8.575650760987806,2001-2010
7316170760,birmingham,3500.0,1996,chevrolet,tahoe,excellent,gas,automatic,4wd;,28,8.160803920954665,<=2000
7316163074,birmingham,16902.0,2020,toyota,corolla,,gas,automatic,fwd;,4,9.735246399950178,2016-2020
7316163069,birmingham,12307.0,2018,kia,soul,,gas,automatic,fwd;,6,9.418004736441933,2016-2020
7316163057,birmingham,37500.0,2018,ford,f-150,,gas,automatic,4wd;,6,10.53212287826962,2016-2020
7316163025,birmingham,21688.0,2020,nissan,kicks,,gas,automatic,fwd;,4,9.984560498562606,2016-2020
7316160104,birmingham,29990.0,2016,chevrolet,colorado extended cab,good,gas,other,4wd;,8,10.30865261563529,2016-2020
7316160083,birmingham,35590.0,2010,chevrolet,corvette convertible,good,gas,other,rwd;,14,10.479848075889779,2001-2010
7316159423,birmingham,18977.0,2017,kia,sorento,,gas,automatic,fwd;,7,9.851035692533705,2016-2020
7316159405,birmingham,6877.0,2007,nissan,pathfinder,,gas,automatic,rwd;,17,8.83608319099221,2001-2010
7316142184,birmingham,12500.0,2015,volkswagen,passat tdi,excellent,diesel,automatic,;,9,9.433563920090563,2011-2015
7316100915,birmingham,27998.0,2008,porsche,cayman,,gas,automatic,rwd;,16,10.239924074233857,2001-2010
7316065114,birmingham,6800.0,2004,mercedes-benz,clk320,good,gas,automatic,rwd;,20,8.824824939175638,2001-2010
7316031977,birmingham,45000.0,2017,chevrolet,silverado,excellent,gas,automatic,4wd;,7,10.714439990727769,2016-2020
7316018962,birmingham,2550.0,2004,cadillac,srx,,gas,automatic,rwd;,20,7.844240718141811,2001-2010
7316014990,birmingham,12500.0,2015,ford,taurus,like new,gas,automatic,fwd;,9,9.433563920090563,2011-2015
7316005652,birmingham,3800.0,2011,nissan,altima,,gas,automatic,;,13,8.24301946898925,2011-2015
7315958516,birmingham,7980.0,2013,bmw,x3,,gas,manual,rwd;,11,8.984818995876008,2011-2015
7315946617,birmingham,7800.0,2005,honda,accord ex-l,excellent,gas,manual,;,19,8.962007209588313,2001-2010
7315946365,birmingham,9000.0,2008,mazda,miata mx-5,excellent,gas,automatic,rwd;,16,9.105090961257085,2001-2010
7315941653,birmingham,5980.0,2005,cadillac,sts,,gas,automatic,rwd;,19,8.696343057044556,2001-2010
7315938243,birmingham,13500.0,2000,chevrolet,corvette,like new,gas,manual,;,24,9.510519035757246,<=2000
7315923364,birmingham,5980.0,2005,acura,tl,,gas,automatic,fwd;,19,8.696343057044556,2001-2010
7315914029,birmingham,2675.0,1996,toyota,camry,,gas,automatic,fwd;,28,7.892078421248119,<=2000
7315903985,birmingham,5980.0,2006,nissan,murano,,gas,automatic,fwd;,18,8.696343057044556,2001-2010
7315892725,birmingham,34995.0,2018,ram,2500,,diesel,automatic,4wd;,6,10.462989048226156,2016-2020
7315883471,birmingham,6980.0,2011,kia,sorento,,gas,other,rwd;,13,8.850947451970402,2011-2015
7315873690,birmingham,31990.0,2017,jeep,wrangler sport s utility 2d,good,gas,other,4wd;,7,10.373209892223665,2016-2020
7315862871,birmingham,6980.0,2008,toyota,avalon,,gas,automatic,fwd;,16,8.850947451970402,2001-2010
7315861135,birmingham,11500.0,2013,honda,odyssey ex,good,gas,automatic,;,11,9.350189267092581,2011-2015
7315847287,birmingham,2600.0,2000,buick,lesabre,,gas,automatic,fwd;,24,7.8636512654486515,<=2000
7315842139,birmingham,4980.0,2007,ford,edge,,gas,automatic,4wd;,17,8.513385953073284,2001-2010
7315832990,birmingham,26995.0,2015,ford,f-350,,diesel,automatic,4wd;,9,10.203443985863297,2011-2015
7315826530,birmingham,27990.0,2014,toyota,tacoma access cab pickup,good,other,other,;,10,10.239638308916676,2011-2015
7315826388,birmingham,32990.0,2017,jeep,wrangler unlimited sport,good,gas,other,4wd;,7,10.403990075979044,2016-2020
7315822644,birmingham,34995.0,2018,ram,1500,,gas,automatic,rwd;,6,10.462989048226156,2016-2020
7315820454,birmingham,5980.0,2010,gmc,terrain,,gas,manual,rwd;,14,8.696343057044556,2001-2010
7315819285,birmingham,4500.0,2014,ford,f250 xl,,gas,automatic,;,10,8.412054873292933,2011-2015
7315799907,birmingham,5480.0,2013,chevrolet,captiva sport,,gas,automatic,fwd;,11,8.609042845046117,2011-2015
7315785227,birmingham,16990.0,2016,kia,forte koup ex coupe 2d,good,gas,other,fwd;,8,9.740439071085758,2016-2020
7315785215,birmingham,37590.0,2019,ford,f150 supercrew cab xl,good,gas,other,;,5,10.534519939024273,2016-2020
7315780240,birmingham,3975.0,2010,chevrolet,cobalt,,gas,automatic,fwd;,14,8.288031567776464,2001-2010
7315780175,birmingham,6480.0,2008,buick,enclave,,gas,automatic,rwd;,16,8.776630098427717,2001-2010
7315759709,birmingham,22900.0,2013,dodge,grand caravan,,gas,automatic,fwd;,11,10.038935856711177,2011-2015
